id,ping,download,upload,server_id,server_name,server_host,url,scheduled,failed,created_at,updated_at
575,5.115,177.55484,356.618144,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/bafd0f19-d3f6-49d7-9dd3-f0c090f1a2f6,1,0,"2022-01-18 20:08:29","2022-01-18 20:08:29"
576,5.009,195.534944,357.413528,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/f9715304-8736-411a-8e59-088edcf116f5,1,0,"2022-01-18 20:10:25","2022-01-18 20:10:25"
577,4.198,210.146896,356.546872,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/5f4d4a69-941f-43a1-bc45-df3ab3768ccc,1,0,"2022-01-18 20:12:24","2022-01-18 20:12:24"
578,5.129,201.396176,356.697584,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/0772426e-4bbd-466a-a102-12dd4272e8ef,1,0,"2022-01-18 20:14:27","2022-01-18 20:14:27"
579,4.016,203.43816,356.638488,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/a1e7e303-7d1b-4764-91f6-bdfbd0099727,1,0,"2022-01-18 20:16:30","2022-01-18 20:16:30"
580,4.607,186.001904,356.775792,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/7e674653-8a25-4c2e-94f5-e8c000e9d50d,1,0,"2022-01-18 20:18:24","2022-01-18 20:18:24"
581,4.016,198.443664,356.685272,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/56f5a147-5bb6-4b82-a92b-769ab497c8fc,1,0,"2022-01-18 20:20:25","2022-01-18 20:20:25"
582,4.53,172.403384,357.505064,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/fc21aee5-eede-45f4-ade7-a22311199a09,1,0,"2022-01-18 20:22:21","2022-01-18 20:22:21"
583,4.788,167.384648,356.161952,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/f458253d-6efa-4362-9cd8-376850565107,1,0,"2022-01-18 20:24:24","2022-01-18 20:24:24"
584,5.845,165.18136,357.242744,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/0fe8f5a1-f3e8-4086-9028-3cdeda0c2be5,1,0,"2022-01-18 20:26:25","2022-01-18 20:26:25"
585,4.838,185.40516,356.526936,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/26b24dcc-16c5-47ab-a2bd-4a64bf143516,1,0,"2022-01-18 20:28:22","2022-01-18 20:28:22"
586,3.712,199.897872,356.737424,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/bee98a53-f8b2-4c62-aa11-5aa1f4d75d67,1,0,"2022-01-18 20:30:25","2022-01-18 20:30:25"
587,4.548,166.592248,357.367328,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/d3bb183a-fefb-4d95-8c76-476f6e13ba09,1,0,"2022-01-18 20:32:26","2022-01-18 20:32:26"
588,4.138,185.484344,356.70328,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/ba3a7430-1ed9-4496-ad82-ccaa26d292cf,1,0,"2022-01-18 20:34:24","2022-01-18 20:34:24"
589,4.922,151.136344,356.591,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/e76f5f5a-85ae-48bf-9c0e-5415bec9624d,1,0,"2022-01-18 20:36:26","2022-01-18 20:36:26"
590,5.493,195.962136,357.648624,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/12456858-07b5-46eb-a00c-31f211f41249,1,0,"2022-01-18 20:38:30","2022-01-18 20:38:30"
591,4.995,244.441688,356.47636,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/5eafc4fa-82db-402d-8ff0-53aef66c8944,1,0,"2022-01-18 20:40:22","2022-01-18 20:40:22"
592,3.591,175.241792,357.438184,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/8bdf1ea6-9730-4d72-a10c-15afd9f33787,1,0,"2022-01-18 20:42:23","2022-01-18 20:42:23"
593,4.555,206.650264,356.329136,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/7dc7bdaa-f30b-4576-9d36-d6507f8cb4b8,1,0,"2022-01-18 20:44:26","2022-01-18 20:44:26"
594,4.398,189.8222,357.18044,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/cfd2e6be-f9e7-4526-9cc6-1c120701083e,1,0,"2022-01-18 20:46:27","2022-01-18 20:46:27"
595,4.724,176.996008,357.241928,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/3c66ff85-17ac-4a47-bf3f-e780862d72dd,1,0,"2022-01-18 20:48:26","2022-01-18 20:48:26"
596,4.749,190.290448,356.981096,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/55c7c4ff-8c8e-4261-bcff-61c8fa645e42,1,0,"2022-01-18 20:50:26","2022-01-18 20:50:26"
597,4.403,186.364168,357.57068,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/4234a864-e9b6-4288-b4e7-8e594912c3f5,1,0,"2022-01-18 20:52:25","2022-01-18 20:52:25"
598,3.978,192.555632,357.434432,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/885c1bf8-1b51-40a2-82a2-38dc77c21b36,1,0,"2022-01-18 20:54:26","2022-01-18 20:54:26"
599,6.411,182.240416,357.266104,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/6edb8498-a208-47f7-a1ca-28303c15550c,1,0,"2022-01-18 20:56:29","2022-01-18 20:56:29"
600,5.754,186.9648,357.681936,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/08f75322-ef26-4bcb-8810-dd1cc8821dce,1,0,"2022-01-18 20:58:27","2022-01-18 20:58:27"
601,6.088,184.020848,356.634392,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/4294d0c1-8117-4db6-b71c-4738448dc0de,1,0,"2022-01-18 21:00:31","2022-01-18 21:00:31"
602,4.802,192.94828,356.795512,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/35a3e7f7-5542-4e4e-95f7-decec9505cd4,1,0,"2022-01-18 21:02:23","2022-01-18 21:02:23"
603,4.129,174.533944,357.349072,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/89192f29-ca01-4942-8b92-398df8585fa8,1,0,"2022-01-18 21:04:23","2022-01-18 21:04:23"
604,5.495,120.919488,356.850136,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/0041e504-5f34-4d07-9519-c3800f915dbf,1,0,"2022-01-18 21:06:24","2022-01-18 21:06:24"
